,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,No_tags
22370,467932,90939,1650,94656,False,False,21
22371,771003,1279,619,410,False,False,18
22372,98165,523,44,28,False,False,18
22373,210334,995,181,72,False,False,20
22374,4067737,13919,4551,1851,False,False,30
22375,262562,1655,319,160,False,False,8
22376,19071061,263102,52287,23762,False,False,22
22377,1233357,41463,1224,1827,False,False,23
22378,6971153,181461,10531,10444,False,False,25
22379,6905998,50854,6781,8228,False,False,35
22380,42862117,1465000,28312,182514,False,False,16
22381,5635250,73400,13195,17122,False,False,34
22382,491685,16965,2636,1840,False,False,47
22383,455424,860,774,291,False,False,16
22384,403112,616,480,235,False,False,21
22385,907048,0,0,182,False,True,33
22386,450786,944,414,415,False,False,15
22387,2210456,16158,4882,2921,False,False,1
22388,311074,26344,433,2203,False,False,17
22389,9515478,300032,32486,32642,False,False,25
22390,134603,667,112,262,False,False,12
22391,963844,17044,638,1356,False,False,25
22392,1370940,54129,1136,2606,False,False,17
22393,600848,3403,1529,634,False,False,12
22394,86501,787,135,79,False,False,31
22395,1852475,80183,12155,5735,False,False,19
22396,579677,3351,965,264,False,False,13
22397,136523,632,99,131,False,False,9
22398,407581,2889,334,1625,False,False,6
22399,333584,28464,375,4625,False,False,30
22400,106632,0,0,43,False,True,10
22401,3917462,10550,3388,1961,False,False,29
22402,2205424,21384,2281,1176,False,False,37
22403,851817,4300,1115,488,False,False,23
22404,216628,2791,158,141,False,False,22
22405,518919,10297,152,270,False,False,17
22406,62759,742,170,88,False,False,29
22407,706083,6678,1422,421,False,False,16
22408,538465,3596,371,0,True,False,8
22409,173244,700,336,177,False,False,1
22410,527233,4094,235,229,False,False,8
22411,347134,727,417,194,False,False,14
22412,83571,1693,99,191,False,False,17
22413,216275,948,194,49,False,False,20
22414,297434,3739,258,124,False,False,9
22415,406099,58190,1166,7652,False,False,11
22416,101858,136,64,18,False,False,16
22417,440107,3456,382,145,False,False,1
22418,98127,619,108,102,False,False,5
22419,1081923,18877,886,698,False,False,16
22420,1362308,7829,1448,1192,False,False,39
22421,187325,9908,292,892,False,False,23
22422,305443,3219,333,1901,False,False,14
22423,1041555,9179,692,1662,False,False,26
22424,1423858,59467,3057,3613,False,False,55
22425,3007807,319351,19475,35404,False,False,17
22426,494580,1601,211,132,False,False,11
22427,80249,3967,131,328,False,False,35
22428,565513,2128,577,81,False,False,25
22429,258596,900,983,433,False,False,17
22430,370064,27472,839,1994,False,False,23
22431,48885,497,41,43,False,False,18
22432,100450,5588,227,282,False,False,26
22433,450395,2679,209,229,False,False,22
22434,445553,2842,412,456,False,False,14
22435,219238,726,129,254,False,False,9
22436,200869,1242,125,129,False,False,19
22437,1177206,8733,760,350,False,False,23
22438,243921,821,83,42,False,False,27
22439,429894,1688,293,138,False,False,24
22440,81506,130,67,10,False,False,14
22441,561278,1864,373,69,False,False,10
22442,68065,3048,65,300,False,False,1
22443,184178,1050,92,75,False,False,16
22444,313393,1759,199,323,False,False,33
22445,44735,0,0,0,True,True,40
22446,268538,1912,161,5,False,False,17
22447,313125,1711,229,276,False,False,16
22448,260930,22383,1073,2446,False,False,23
22449,169540,3035,214,223,False,False,33
22450,132735,426,86,87,False,False,21
22451,21340,2973,32,71,False,False,21
22452,26980,4104,43,219,False,False,29
22453,365964,22382,451,2219,False,False,8
22454,156404,184,43,27,False,False,12
22455,288354,2933,330,186,False,False,17
22456,245703,1316,234,65,False,False,16
22457,383120,7923,339,336,False,False,28
22458,404001,4703,536,829,False,False,5
22459,111136,707,73,36,False,False,13
22460,832381,31841,735,1666,False,False,17
22461,28212,63,139,30,False,False,15
22462,154544,545,79,15,False,False,12
22463,4344447,26698,3039,1951,False,False,14
22464,40291,4030,127,176,False,False,8
22465,517529,1093,317,46,False,False,14
22466,69825,9684,540,741,False,False,13
22467,447581,2741,320,350,False,False,21
22468,191986,5369,116,380,False,False,11
22469,208946,2125,763,378,False,False,20
22470,661002,4179,480,896,False,False,23
22471,129522,1095,192,280,False,False,6
22472,101197,681,104,42,False,False,27
22473,126214,293,97,25,False,False,8
22474,2015288,14627,4120,2549,False,False,17
22475,745863,4065,739,321,False,False,23
22476,72606,3512,623,521,False,False,13
22477,45255,127,6,2,False,False,15
22478,499002,10695,243,505,False,False,25
22479,87542,256,74,28,False,False,39
22480,3690551,113068,6202,12160,False,False,11
22481,42664,62,30,12,False,False,29
22482,681084,12494,1421,801,False,False,17
22483,639525,103942,2051,106076,False,False,21
22484,45446,138,6,2,False,False,22
22485,836286,5896,1551,490,False,False,17
22486,102880,229,23,38,False,False,28
22487,13345,1155,10,185,False,False,21
22488,1540399,60112,1833,7861,False,False,17
22489,107781,564,68,111,False,False,35
22490,26947,494,26,0,True,False,1
22491,97754,385,23,124,False,False,10
22492,388836,8869,589,661,False,False,29
22493,897895,1500,708,473,False,False,18
22494,2031714,26082,1486,3805,False,False,25
22495,174125,0,0,0,True,True,16
22496,135116,6576,320,1045,False,False,27
22497,73039,326,32,44,False,False,22
22498,64085,159,58,42,False,False,27
22499,123762,637,56,32,False,False,18
22500,4597238,15121,5088,2036,False,False,30
22501,254349,2593,153,200,False,False,17
22502,556114,17096,1393,1962,False,False,23
22503,491643,2061,436,181,False,False,28
22504,23864,27,16,6,False,False,16
22505,64586,5659,151,591,False,False,12
22506,1355471,144222,3885,9288,False,False,17
22507,63647,108,42,20,False,False,9
22508,750825,17322,427,1893,False,False,13
22509,170461,149,223,43,False,False,33
22510,32039,39,17,7,False,False,15
22511,61661,790,29,22,False,False,14
22512,198954,826,258,241,False,False,19
22513,237217,614,99,46,False,False,15
22514,1764671,0,0,0,True,True,22
22515,9628,56,1,4,False,False,10
22516,86898,693,156,179,False,False,24
22517,206364,4930,111,252,False,False,22
22518,24805,206,10,6,False,False,23
22519,37792,245,44,25,False,False,6
22520,134280,966,68,125,False,False,16
22521,133384,528,74,194,False,False,13
22522,437987,1194,132,134,False,False,19
22523,241075,538,265,39,False,False,14
22524,913447,14377,443,1803,False,False,26
22525,26944,322,48,28,False,False,36
22526,209074,783,85,39,False,False,17
22527,214293,1323,313,777,False,False,10
22528,300557,3319,396,682,False,False,36
22529,23088629,288351,64500,27200,False,False,22
22530,1672414,46447,1585,2005,False,False,23
22531,7846199,189055,11173,10800,False,False,25
22532,7758977,54194,7419,8121,False,False,35
22533,1134982,2508,1168,942,False,False,17
22534,851502,23463,4208,2529,False,False,47
22535,7286159,84386,16406,19528,False,False,34
